id,name
1,Nanggroe Aceh Darussalam
2,Sumatera Utara
3,Sumatera Barat
4,Riau
5,Kepulauan Riau
6,Jambi
7,Sumatera Selatan
8,Kepulauan Bangka Belitung
9,Bengkulu
10,Lampung
11,DKI Jakarta
12,Jawa Barat
13,Jawa Tengah
14,DI Yogyakarta
15,Jawa Timur
16,Banten
17,Bali
18,Nusa Tenggara Barat
19,Nusa Tenggara Timur
20,Kalimantan Barat
21,Kalimantan Tengah
22,Kalimantan Selatan
23,Kalimantan Timur
24,Kalimantan Utara
25,Sulawesi Utara
26,Gorontalo
27,Sulawesi Tengah
28,Sulawesi Barat
29,Sulawesi Selatan
30,Sulawesi Tenggara
31,Maluku
32,Maluku Utara
33,Papua
34,Papua Barat
35,Papua Selatan
36,Papua Tengah
37,Papua Pegunungan
38,Papua Barat Daya
